start_date,start_time,finish_date,finish_time,name,gift,vip_gift
20180507,00:00:10.366726,20180507,00:00:11.188959,贝汯璘,31481,11388
20180507,00:00:10.366726,20180507,00:00:11.188959,毕雯珺,1189899,430275
20180507,00:00:10.366726,20180507,00:00:11.188959,卜凡,3321393,537670
20180507,00:00:10.366726,20180507,00:00:11.188959,蔡徐坤,5005566,2112215
20180507,00:00:10.366726,20180507,00:00:11.188959,陈立农,5000148,1087827
20180507,00:00:10.366726,20180507,00:00:11.188959,陈名豪,13674,5568
20180507,00:00:10.366726,20180507,00:00:11.188959,陈斯琪,30270,13742
20180507,00:00:10.366726,20180507,00:00:11.188959,陈义夫,6020,2752
20180507,00:00:10.366726,20180507,00:00:11.188959,邓烺怡,9117,4036
20180507,00:00:10.366726,20180507,00:00:11.188959,丁泽仁,613963,195785
20180507,00:00:10.366726,20180507,00:00:11.188959,董岩磊,107825,53978
20180507,00:00:10.366726,20180507,00:00:11.188959,范丞丞,5017833,884838
20180507,00:00:10.366726,20180507,00:00:11.188959,甘俊,3979,1783
20180507,00:00:10.366726,20180507,00:00:11.188959,高茂桐,9564,4241
20180507,00:00:10.366726,20180507,00:00:11.188959,GIGEL,8223,3301
20180507,00:00:10.366726,20180507,00:00:11.188959,韩沐伯,904407,141044
20180507,00:00:10.366726,20180507,00:00:11.188959,韩雍杰,242118,13745
20180507,00:00:10.366726,20180507,00:00:11.188959,何东东,157828,57962
20180507,00:00:10.366726,20180507,00:00:11.188959,何嘉庚,2774,934
20180507,00:00:10.366726,20180507,00:00:11.188959,Hook于浩,2310,1032
20180507,00:00:10.366726,20180507,00:00:11.188959,侯浩然,2387,1083
20180507,00:00:10.366726,20180507,00:00:11.188959,胡致邦,333369,32876
20180507,00:00:10.366726,20180507,00:00:11.188959,黄若涵,2217,679
20180507,00:00:10.366726,20180507,00:00:11.188959,黄书豪,49802,18634
20180507,00:00:10.366726,20180507,00:00:11.188959,黄新淳,307454,137318
20180507,00:00:10.366726,20180507,00:00:11.188959,Jeffrey,920904,191625
20180507,00:00:10.366726,20180507,00:00:11.188959,伽里,11787,3510
20180507,00:00:10.366726,20180507,00:00:11.188959,姜达赫,5800,2395
20180507,00:00:10.366726,20180507,00:00:11.188959,姜京佐,19242,7774
20180507,00:00:10.366726,20180507,00:00:11.188959,金逸涵,7168,3497
20180507,00:00:10.366726,20180507,00:00:11.188959,靖佩瑶,137878,38113
20180507,00:00:10.366726,20180507,00:00:11.188959,J-ONE,1798,652
20180507,00:00:10.366726,20180507,00:00:11.188959,Justin,5000608,888088
20180507,00:00:10.366726,20180507,00:00:11.188959,李长庚,126271,18106
20180507,00:00:10.366726,20180507,00:00:11.188959,李俊毅,48720,27009
20180507,00:00:10.366726,20180507,00:00:11.188959,李权哲,632261,199524
20180507,00:00:10.366726,20180507,00:00:11.188959,李让,118861,14722
20180507,00:00:10.366726,20180507,00:00:11.188959,李若天,11091,4987
20180507,00:00:10.366726,20180507,00:00:11.188959,李希侃,1210264,384921
20180507,00:00:10.366726,20180507,00:00:11.188959,李鑫岩,3406,1024
20180507,00:00:10.366726,20180507,00:00:11.188959,李志杰,2229,1101
20180507,00:00:10.366726,20180507,00:00:11.188959,梁辉,25969,6057
20180507,00:00:10.366726,20180507,00:00:11.188959,林超泽,369330,135967
20180507,00:00:10.366726,20180507,00:00:11.188959,林浩楷,3477,1452
20180507,00:00:10.366726,20180507,00:00:11.188959,林彦俊,3182860,432452
20180507,00:00:10.366726,20180507,00:00:11.188959,灵超,3087407,915503
20180507,00:00:10.366726,20180507,00:00:11.188959,凌崎,129272,3803
20180507,00:00:10.366726,20180507,00:00:11.188959,娄滋博,195435,66536
20180507,00:00:10.366726,20180507,00:00:11.188959,陆定昊,290336,67373
20180507,00:00:10.366726,20180507,00:00:11.188959,罗杰,7727,3389
20180507,00:00:10.366726,20180507,00:00:11.188959,罗正,149529,39597
20180507,00:00:10.366726,20180507,00:00:11.188959,吕晨瑜,6562,2829
20180507,00:00:10.366726,20180507,00:00:11.188959,闵喆祥,2491,1217
20180507,00:00:10.366726,20180507,00:00:11.188959,明鹏,36064,8747
20180507,00:00:10.366726,20180507,00:00:11.188959,木子洋,2120083,337558
20180507,00:00:10.366726,20180507,00:00:11.188959,钱正昊,3940302,247264
20180507,00:00:10.366726,20180507,00:00:11.188959,秦奋,802334,227879
20180507,00:00:10.366726,20180507,00:00:11.188959,覃俊毅,13982,6079
20180507,00:00:10.366726,20180507,00:00:11.188959,秦子墨,50197,18567
20180507,00:00:10.366726,20180507,00:00:11.188959,邱治谐,6663,675
20180507,00:00:10.366726,20180507,00:00:11.188959,Rapen,4493,2392
20180507,00:00:10.366726,20180507,00:00:11.188959,孙凡杰,2693,1039
20180507,00:00:10.366726,20180507,00:00:11.188959,孙浩然,19610,2229
20180507,00:00:10.366726,20180507,00:00:11.188959,Traple赵凌峰,1198,423
20180507,00:00:10.366726,20180507,00:00:11.188959,万宇贤,1769,959
20180507,00:00:10.366726,20180507,00:00:11.188959,王艺龙,12827,4362
20180507,00:00:10.366726,20180507,00:00:11.188959,王宥辰,1615,683
20180507,00:00:10.366726,20180507,00:00:11.188959,王梓豪,1975,980
20180507,00:00:10.366726,20180507,00:00:11.188959,王子异,4516856,682121
20180507,00:00:10.366726,20180507,00:00:11.188959,武连杰,20738,4041
20180507,00:00:10.366726,20180507,00:00:11.188959,小鬼,3122067,1032968
20180507,00:00:10.366726,20180507,00:00:11.188959,徐鹤尼,9973,4920
20180507,00:00:10.366726,20180507,00:00:11.188959,许凯皓,86845,20639
