start_date,start_time,finish_date,finish_time,title,qipuId,count
20180306,03:00:02.802051,20180306,03:00:03.082929,《偶像练习生》【直拍】小组对决《Can't stop》Justin,922857600,2860647
20180306,03:00:03.083403,20180306,03:00:03.470225,《偶像练习生》【直拍】小组对决《Can't stop》灵超,922890500,1275538
20180306,03:00:03.470701,20180306,03:00:03.805512,《偶像练习生》【直拍】小组对决《PPAP》王子异,922793800,1269718
20180306,03:00:03.805976,20180306,03:00:04.207987,《偶像练习生》【直拍】小组对决《Dance to the music》木子洋,922759200,807215
20180306,03:00:04.208576,20180306,03:00:04.575769,《偶像练习生》【直拍】小组对决《半兽人》卜凡,922783900,943001
20180306,03:00:04.576243,20180306,03:00:04.924910,《偶像练习生》【直拍】小组对决《SHAKE》岳岳,922770600,756163
20180306,03:00:04.925340,20180306,03:00:05.229652,《偶像练习生》【直拍】小组对决《Dance to the music》朱星杰,922733300,481574
20180306,03:00:05.230107,20180306,03:00:05.557665,《偶像练习生》【直拍】小组对决《代号魂斗罗》杨非同,922781600,157102
20180306,03:00:05.558106,20180306,03:00:05.865517,偶像练习生之张艺兴忆练习生经历落泪 李荣浩迎最强声音,912602100,227253057
20180306,03:00:05.866059,20180306,03:00:06.202381,偶像练习生之选手再评级惹张艺兴发火 主题曲舞台拉响C位争夺战,919527300,226328368
20180306,03:00:06.279826,20180306,03:00:06.551073,偶像练习生之张艺兴升级严厉制作人 范冰冰弟弟首秀哽咽泪目,906523400,275501007
20180306,04:00:01.278521,20180306,04:00:03.490043,《偶像练习生》【直拍】小组对决《PPAP》蔡徐坤,922792900,12059200
20180306,04:00:03.490720,20180306,04:00:04.107213,《偶像练习生》【直拍】小组对决《大艺术家》陈立农,922529400,3703328
20180306,04:00:04.107706,20180306,04:00:04.488913,《偶像练习生》【直拍】小组对决《Can't stop》范丞丞,922799800,3116680
20180306,04:00:04.489448,20180306,04:00:04.927295,《偶像练习生》【直拍】小组对决《PPAP》朱正廷,922795500,2882482
20180306,04:00:04.927795,20180306,04:00:06.384728,《偶像练习生》【直拍】小组对决《Can't stop》Justin,922857600,2860706
20180306,04:00:06.385268,20180306,04:00:06.701611,《偶像练习生》【直拍】小组对决《Can't stop》灵超,922890500,1275545
20180306,04:00:06.702050,20180306,04:00:07.142111,《偶像练习生》【直拍】小组对决《PPAP》王子异,922793800,1269736
20180306,04:00:07.142828,20180306,04:00:07.479447,《偶像练习生》【直拍】小组对决《Dance to the music》木子洋,922759200,807226
20180306,04:00:07.480023,20180306,04:00:07.810303,《偶像练习生》【直拍】小组对决《半兽人》卜凡,922783900,943056
20180306,04:00:07.810769,20180306,04:00:08.211328,《偶像练习生》【直拍】小组对决《SHAKE》岳岳,922770600,756165
20180306,04:00:08.211819,20180306,04:00:08.547896,《偶像练习生》【直拍】小组对决《Dance to the music》朱星杰,922733300,480944
20180306,04:00:08.550186,20180306,04:00:08.874449,《偶像练习生》【直拍】小组对决《代号魂斗罗》杨非同,922781600,157110
20180306,04:00:08.874930,20180306,04:00:09.612802,偶像练习生之张艺兴忆练习生经历落泪 李荣浩迎最强声音,912602100,227252811
20180306,04:00:09.613256,20180306,04:00:09.889106,偶像练习生之选手再评级惹张艺兴发火 主题曲舞台拉响C位争夺战,919527300,226327699
20180306,04:00:09.889747,20180306,04:00:10.206604,偶像练习生之张艺兴升级严厉制作人 范冰冰弟弟首秀哽咽泪目,906523400,275503982
